5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 14:50	134	134	141	164	150	49	772	6	100
11/09/2015 14:55	131	118	130	195	146	40	760	6	100
11/09/2015 15:00	129	119	131	166	140	31	716	6	100
11/09/2015 15:05	127	129	151	189	166	46	808	6	100
11/09/2015 15:10	117	133	113	167	179	24	733	6	100
11/09/2015 15:15	144	121	144	171	160	36	776	6	100
11/09/2015 15:20	123	129	130	173	154	56	765	6	100
11/09/2015 15:25	123	118	126	159	153	48	727	6	100
11/09/2015 15:30	115	110	131	165	144	45	710	6	100
11/09/2015 15:35	91	127	119	179	153	46	715	6	100
11/09/2015 15:40	107	139	139	184	151	56	776	6	100
11/09/2015 15:45	131	128	122	171	160	51	763	6	100
11/09/2015 15:50	141	117	131	140	131	50	710	6	100
11/09/2015 15:55	127	121	104	119	99	77	647	6	100
11/09/2015 16:00	133	150	126	136	121	81	747	6	100
11/09/2015 16:05	139	126	104	96	93	67	625	6	100
11/09/2015 16:10	126	117	117	100	110	83	653	6	100
11/09/2015 16:15	107	100	96	86	90	76	555	6	100
11/09/2015 16:20	130	110	111	119	99	96	665	6	100
11/09/2015 16:25	136	131	120	120	114	67	688	6	100
11/09/2015 16:30	126	126	104	106	101	74	637	6	100
11/09/2015 16:35	121	120	121	107	116	91	676	6	100
11/09/2015 16:40	107	111	103	114	110	93	638	6	100
11/09/2015 16:45	114	110	103	114	99	80	620	6	100
11/09/2015 16:50	90	101	84	90	94	86	545	6	100
11/09/2015 16:55	101	114	103	93	86	83	580	6	100
11/09/2015 17:00	114	129	131	130	123	91	718	6	100
11/09/2015 17:05	117	120	123	111	121	76	668	6	100
11/09/2015 17:10	101	120	99	113	114	60	607	6	100
11/09/2015 17:15	119	116	96	97	107	99	634	6	100
11/09/2015 17:20	131	110	103	96	104	81	625	6	100
