5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 12:40	69	90	63	84	85	92	483	6	100
11/09/2015 12:45	57	67	61	78	87	65	415	6	100
11/09/2015 12:50	61	69	57	61	76	67	391	6	100
11/09/2015 12:55	65	76	59	69	76	77	422	6	100
11/09/2015 13:00	53	71	60	73	77	63	397	6	100
11/09/2015 13:05	75	83	56	64	67	70	415	6	100
11/09/2015 13:10	77	83	59	67	67	75	428	6	100
11/09/2015 13:15	65	80	62	66	93	70	436	6	100
11/09/2015 13:20	56	67	68	64	83	60	398	6	100
11/09/2015 13:25	63	84	59	74	76	65	421	6	100
11/09/2015 13:30	63	85	60	79	87	73	447	6	100
11/09/2015 13:35	57	74	59	70	66	74	400	6	100
11/09/2015 13:40	74	84	61	75	98	59	451	6	100
11/09/2015 13:45	74	78	53	93	70	80	448	6	100
11/09/2015 13:50	59	77	59	65	73	58	391	6	100
11/09/2015 13:55	63	60	54	76	86	68	407	6	100
11/09/2015 14:00	65	81	68	52	65	67	398	6	100
11/09/2015 14:05	62	66	61	59	73	64	385	6	100
11/09/2015 14:10	58	65	67	72	81	71	414	6	100
11/09/2015 14:15	73	90	71	80	79	78	471	6	100
11/09/2015 14:20	52	70	47	75	83	70	397	6	100
11/09/2015 14:25	70	83	65	86	81	76	461	6	100
11/09/2015 14:30	69	78	68	63	69	70	417	6	100
11/09/2015 14:35	64	77	59	82	79	77	438	6	100
11/09/2015 14:40	68	75	65	77	91	73	449	6	100
11/09/2015 14:45	56	71	70	83	82	86	448	6	100
11/09/2015 14:50	71	75	71	71	81	82	451	6	100
11/09/2015 14:55	60	69	60	78	79	86	432	6	100
11/09/2015 15:00	71	76	63	99	84	93	486	6	100
11/09/2015 15:05	72	82	66	83	78	70	451	6	100
11/09/2015 15:10	66	73	74	92	82	70	457	6	100
11/09/2015 15:15	61	73	70	77	93	74	448	6	100
11/09/2015 15:20	62	81	68	79	86	64	440	6	100
11/09/2015 15:25	63	83	60	83	82	80	451	6	100
11/09/2015 15:30	38	58	62	72	76	71	377	6	100
11/09/2015 15:35	87	102	72	85	89	84	519	6	100
11/09/2015 15:40	71	82	74	90	75	89	481	6	100
11/09/2015 15:45	85	91	60	87	85	84	492	6	100
11/09/2015 15:50	65	70	81	88	78	82	464	6	100
11/09/2015 15:55	76	87	66	73	80	70	452	6	100
11/09/2015 16:00	80	92	75	86	69	73	475	6	100
11/09/2015 16:05	53	73	54	76	79	70	405	6	100
11/09/2015 16:10	70	80	68	73	80	73	444	6	100
11/09/2015 16:15	76	73	75	76	72	57	429	6	100
11/09/2015 16:20	66	76	56	67	82	63	410	6	100
11/09/2015 16:25	83	76	77	80	75	75	466	6	100
11/09/2015 16:30	76	78	68	81	78	65	446	6	100
11/09/2015 16:35	84	91	66	93	76	86	496	6	100
11/09/2015 16:40	58	78	74	86	69	72	437	6	100
11/09/2015 16:45	94	86	72	86	78	64	480	6	100
11/09/2015 16:50	94	112	69	93	80	78	526	6	100
11/09/2015 16:55	67	76	79	85	87	70	464	6	100
11/09/2015 17:00	90	84	77	74	92	62	479	6	100
11/09/2015 17:05	77	92	76	96	67	81	489	6	100
11/09/2015 17:10	68	93	68	77	82	66	454	6	100
11/09/2015 17:15	80	92	79	87	76	66	480	6	100
11/09/2015 17:20	94	105	95	89	76	77	536	6	100
11/09/2015 17:25	84	92	82	98	71	65	492	6	100
11/09/2015 17:30	91	103	83	89	74	79	519	6	100
11/09/2015 17:35	83	94	63	68	69	73	450	6	100
11/09/2015 17:40	87	118	76	72	76	83	512	6	100
11/09/2015 17:45	89	106	73	65	81	78	492	6	100
11/09/2015 17:50	91	113	73	71	70	75	493	6	100
11/09/2015 17:55	91	122	70	68	60	74	485	6	100
11/09/2015 18:00	77	72	53	65	72	68	407	6	100
11/09/2015 18:05	75	73	64	76	66	74	428	6	100
11/09/2015 18:10	67	65	75	61	78	81	427	6	100
11/09/2015 18:15	71	71	61	86	61	73	423	6	100
11/09/2015 18:20	68	84	76	84	79	66	457	6	100
11/09/2015 18:25	79	80	72	89	66	70	456	6	100
11/09/2015 18:30	68	81	70	78	69	67	433	6	100
11/09/2015 18:35	64	80	70	76	69	78	437	6	100
11/09/2015 18:40	54	68	55	69	73	60	379	6	100
11/09/2015 18:45	63	72	47	64	80	70	396	6	100
11/09/2015 18:50	64	55	57	64	54	49	343	6	100
11/09/2015 18:55	49	53	49	55	72	60	338	6	100
11/09/2015 19:00	37	56	45	69	72	67	346	6	100
11/09/2015 19:05	51	62	52	58	72	76	371	6	100
11/09/2015 19:10	39	56	52	65	69	64	345	6	100
11/09/2015 19:15	50	64	49	60	65	61	349	6	100
11/09/2015 19:20	40	50	29	52	53	52	276	6	100
11/09/2015 19:25	51	66	38	52	50	56	313	6	100
11/09/2015 19:30	35	54	32	46	52	50	269	6	100
11/09/2015 19:35	44	55	41	39	57	57	293	6	100
11/09/2015 19:40	29	50	34	57	60	57	287	6	100
11/09/2015 19:45	40	47	31	36	53	38	245	6	100
11/09/2015 19:50	37	47	35	39	59	51	268	6	100
11/09/2015 19:55	16	35	28	30	41	36	186	6	100
11/09/2015 20:00	28	44	28	30	38	37	205	6	100
11/09/2015 20:05	33	39	24	44	49	43	232	6	100
11/09/2015 20:10	33	46	28	26	48	41	222	6	100
11/09/2015 20:15	37	47	35	35	55	42	251	6	100
11/09/2015 20:20	31	51	32	46	51	44	255	6	100
11/09/2015 20:25	35	42	31	31	46	31	216	6	100
11/09/2015 20:30	28	44	36	33	44	46	231	6	100
11/09/2015 20:35	30	34	30	31	49	43	217	6	100
11/09/2015 20:40	28	42	29	33	46	37	215	6	100
11/09/2015 20:45	28	32	23	28	54	36	201	6	100
11/09/2015 20:50	21	42	30	32	46	40	211	6	100
11/09/2015 20:55	33	43	21	31	41	36	205	6	100
11/09/2015 21:00	29	38	25	32	27	44	195	6	100
11/09/2015 21:05	31	48	20	27	34	29	189	6	100
11/09/2015 21:10	25	35	34	31	50	31	206	6	100
11/09/2015 21:15	24	38	26	43	47	41	219	6	100
11/09/2015 21:20	26	40	22	32	30	41	191	6	100
11/09/2015 21:25	25	32	32	26	51	37	203	6	100
11/09/2015 21:30	35	40	28	27	36	33	199	6	100
11/09/2015 21:35	29	48	26	29	39	34	205	6	100
11/09/2015 21:40	14	26	14	24	42	38	158	6	100
11/09/2015 21:45	25	42	27	23	44	32	193	6	100
